   368	-64.2402
   369	-64.0421
   370	-63.8065
   371	-63.6386
   372	-63.6408
   373	-63.8791
   374	-64.361
   375	-65.0383
   376	-65.8294
   377	-66.6516
   378	-67.4455
   379	-68.1865
   380	-68.8834
   381	-69.5677
   382	-70.2759
   383	-71.0322
   384	-71.8341
   385	-72.6467
   386	-73.406
   387	-74.0326
   388	-74.4473
   389	-74.5879
   390	-74.4212
   391	-73.95
   392	-73.215
   393	-72.2849
   394	-71.2427
   395	-70.1699
   396	-69.1279
   397	-68.1506
   398	-67.2439
   399	-66.3955
   400	-65.5923
   401	-64.8309
   402	-64.1242
   403	-63.502
   404	-63.0054
   405	-62.6754
   406	-62.5421
   407	-62.6143
   408	-62.8746
   409	-63.2796
   410	-63.7649
   411	-64.2561
   412	-64.6829
   413	-64.9915
   414	-65.1577
   415	-65.1953
   416	-65.1511
   417	-65.0905
   418	-65.0759
   419	-65.1435
   420	-65.2897
   421	-65.4715
   422	-65.6221
   423	-65.674
   424	-65.5809
   425	-65.3284
   426	-64.9367
   427	-64.4548
   428	-63.9505
   429	-63.4987
   430	-63.1653
   431	-62.9914
   432	-62.9793
   433	-63.0911
   434	-63.2611
   435	-63.4196
   436	-63.5201
   437	-63.5584
   438	-63.5802
   439	-63.6709
   440	-63.9314
   441	-64.4422
   442	-65.2333
   443	-66.2736
   444	-67.4824
   445	-68.7526
   446	-69.9836
   447	-71.1055
   448	-72.0879
   449	-72.9375
   450	-73.6843
   451	-74.3665
   452	-75.0134
   453	-75.6371
   454	-76.2277
   455	-76.7539
   456	-77.1753
   457	-77.4547
   458	-77.5705
   459	-77.523
   460	-77.3361
   461	-77.0513
   462	-76.7201
   463	-76.3894
   464	-76.0899
   465	-75.8267
   466	-75.5785
   467	-75.305
   468	-74.96
   469	-74.5073
   470	-73.936
   471	-73.2665
   472	-72.5479
   473	-71.8421
   474	-71.2073
   475	-70.683
   476	-70.2844
   477	-70.0067
   478	-69.8374
   479	-69.7668
   480	-69.7959
   481	-69.9351
   482	-70.1984
   483	-70.5956
   484	-71.1261
   485	-71.7792
   486	-72.5362
   487	-73.3718
   488	-74.2567
   489	-75.1541
   490	-76.0142
   491	-76.777
   492	-77.3823
   493	-77.7832
   494	-77.958
   495	-77.9135
   496	-77.6792
   497	-77.2953
   498	-76.7993
   499	-76.215
   500	-75.547
   501	-74.7827
   502	-73.9014
   503	-72.884
   504	-71.7232
   505	-70.4287
   506	-69.0301
   507	-67.5786
   508	-66.143
   509	-64.8056
   510	-63.6514
   511	-62.7496
   512	-62.1354
   513	-61.8025
   514	-61.7085
   515	-61.7901
   516	-61.9888
   517	-62.2708
   518	-62.6376
   519	-63.1216
   520	-63.771
   521	-64.625
   522	-65.6948
   523	-66.9509
   524	-68.3278
   525	-69.7405
   526	-71.1048
   527	-72.3555
   528	-73.4532
   529	-74.3847
   530	-75.1609
   531	-75.8078
   532	-76.359
   533	-76.8456
   534	-77.2892
   535	-77.6962
   536	-78.0566
   537	-78.348
   538	-78.543
   539	-78.62
   540	-78.5701
   541	-78.4033
   542	-78.148
   543	-77.8443
   544	-77.5346
   545	-77.2524
   546	-77.0152
   547	-76.823
   548	-76.6641
   549	-76.5228
   550	-76.3879
   551	-76.2577
   552	-76.1426
   553	-76.0638
   554	-76.0514
   555	-76.137
   556	-76.3483
   557	-76.7005
   558	-77.1912
   559	-77.7969
   560	-78.4739
   561	-79.1655
   562	-79.8153
   563	-80.3756
   564	-80.8175
   565	-81.1355
   566	-81.3422
   567	-81.4598
   568	-81.509
